Neighborhood,2017-04-24 00:00:00,2017-04-25 00:00:00,2017-04-26 00:00:00,2017-04-27 00:00:00,2017-04-28 00:00:00
Allegheny Center,0.6831,0.6761,0.6744,0.6768,0.6716
Allegheny West,0.3186,0.3119,0.3089,0.3102,0.3048
Allentown,0.6267,0.6191,0.6171,0.6199,0.6141
Arlington,0.8034,0.798,0.7975,0.7988,0.7946
Arlington Heights,0.6892,0.6823,0.6818,0.6844,0.6804
Banksville,0.6725,0.6654,0.6645,0.6674,0.663
Bedford Dwellings,0.3024,0.2961,0.2935,0.2946,0.29
Beechview,0.5941,0.5863,0.5855,0.5883,0.5838
Beltzhoover,0.1523,0.1478,0.1449,0.1453,0.1398
Bloomfield,0.4199,0.4121,0.4102,0.4123,0.4075
Bluff,0.7721,0.7662,0.7657,0.7679,0.7641
Bon Air,0.2737,0.2675,0.2644,0.2652,0.2598
Brighton Heights,0.1943,0.1894,0.1866,0.1872,0.1829
Brookline,0.6789,0.6718,0.6714,0.6742,0.6701
California-Kirkbride,0.0834,0.0808,0.0788,0.079,0.0756
Carrick,0.3645,0.357,0.3538,0.3551,0.3483
Central Lawrenceville,0.4301,0.4224,0.4202,0.4222,0.4171
Central Northside,0.3038,0.297,0.2933,0.2943,0.2868
Central Oakland,0.9039,0.9006,0.9008,0.9013,0.898
Chartiers City,0.6468,0.6395,0.6385,0.6411,0.6365
Chateau,0.5171,0.5094,0.508,0.5107,0.5061
Crafton Heights,0.5038,0.4961,0.4941,0.4964,0.4914
Crawford-Roberts,0.7539,0.7476,0.7476,0.7502,0.7466
Duquesne Heights,0.2771,0.271,0.268,0.2689,0.2642
East Allegheny,0.8106,0.8051,0.8047,0.8065,0.8022
East Carnegie,0.4235,0.4156,0.4126,0.4148,0.4083
East Hills,0.1267,0.123,0.1203,0.1212,0.1171
East Liberty,0.549,0.5413,0.5402,0.5429,0.5384
Elliott,0.8181,0.8127,0.8128,0.815,0.8114
Esplen,0.7953,0.7895,0.7887,0.7904,0.786
Fairywood,0.6515,0.6441,0.6436,0.6462,0.6422
Fineview,0.6144,0.6065,0.6044,0.6069,0.601
Friendship,0.4133,0.4057,0.4036,0.4051,0.4004
Garfield,0.7863,0.7802,0.7803,0.7826,0.7786
Glen Hazel,0.0853,0.0818,0.0819,0.0797,0.0736
Golden Triangle/Civic Arena,NA,NA,NA,NA,NA
Greenfield,0.82,0.8148,0.8139,0.8152,0.811
Hays,0.3988,0.3913,0.3887,0.3902,0.3849
Hazelwood,0.367,0.3595,0.3565,0.3579,0.3517
Highland Park,0.2945,0.2881,0.285,0.2861,0.2806
Homewood North,0.2869,0.2803,0.2771,0.2779,0.2713
Homewood South,0.5936,0.5854,0.5831,0.5861,0.5793
Homewood West,0.2425,0.2367,0.2335,0.2342,0.2284
Knoxville,0.435,0.4272,0.4243,0.4262,0.4198
Larimer,0.6918,0.6846,0.6832,0.6856,0.6806
Lincoln Place,0.2846,0.2781,0.2749,0.2758,0.2696
Lincoln-Lemington-Belmar,0.5115,0.5036,0.5015,0.5041,0.4984
Lower Lawrenceville,0.5902,0.5824,0.5816,0.5845,0.58
Manchester,0.3275,0.3209,0.3179,0.3191,0.3143
Marshall-Shadeland,0.4517,0.444,0.4416,0.4436,0.4379
Middle Hill,0.7036,0.6965,0.6965,0.6994,0.6955
Morningside,0.1852,0.1804,0.1772,0.178,0.1731
Mount Washington,0.0843,0.0808,0.0809,0.0787,0.0727
Mt. Oliver Boro,NA,NA,NA,NA,NA
Mt. Oliver Neighborhood,NA,NA,NA,NA,NA
New Homestead,0.3621,0.3545,0.3508,0.3522,0.3446
North Oakland,0.5143,0.5056,0.5026,0.5044,0.4972
North Shore,0.5614,0.5536,0.5519,0.5541,0.5488
Northview Heights,0.8192,0.8139,0.8132,0.8145,0.8104
Oakwood,0.0838,0.0803,0.0804,0.0783,0.0723
Outside City,NA,NA,NA,NA,NA
Outside County,NA,NA,NA,NA,NA
Outside State,NA,NA,NA,NA,NA
Overbrook,0.4577,0.4496,0.4476,0.4498,0.4444
Perry North,0.3496,0.3426,0.3401,0.3413,0.3367
Perry South,0.5423,0.5345,0.532,0.5344,0.528
Point Breeze,0.6034,0.5956,0.5937,0.5966,0.5907
Point Breeze North,0.7565,0.7502,0.75,0.7527,0.7488
Polish Hill,0.7412,0.7346,0.7333,0.7353,0.7301
Regent Square,0.7992,0.7936,0.7931,0.7945,0.7903
Ridgemont,0.1403,0.1362,0.1334,0.1341,0.1294
Shadyside,0.2612,0.2553,0.2525,0.2534,0.249
